"Featured Image",Title,Building,Available
https://www.portproperty.com/uploads/1kit3.jpg,"124 Brackett Street – Apartment 2 – Portland","122/124 Brackett Street",1,43.64978665160589,-70.26518936937876,2000
https://www.portproperty.com/uploads/stu1-36.jpg,"30 Preble Street – Apartment 254 – **All Utilities Included!**","30 Preble Street",1,43.65784648117214,-70.26073686374272,1950
a,"341 Cumberland Avenue – The Earl – Apartment 5 – Portland","341 Cumberland Avenue",1,43.65814667264792, -70.26164974219327,2800
https://www.portproperty.com/uploads/341cum-12-living-kitchen.webp,"341 Cumberland Avenue – Apartment 12 – Portland","341 Cumberland Avenue",1,43.65814667264792,-70.26164974219327,1750
https://www.portproperty.com/uploads/439-102-1.jpg,"439 Congress Street – Apartment 102 – Portland","439 Congress Street",1,43.65812186546555,-70.25847632839003,1980
https://www.portproperty.com/uploads/dsc00011.jpg,"439 Congress Street – Apartment 206 – Portland","439 Congress Street",1,43.65812186546555,-70.25847632839003,2520
https://www.portproperty.com/uploads/ext-2.jpg,"8 Burnham Street – Apartment 1 – South Portland","8 Burnham Street",1,43.629508910192634,-70.27426908836557,2840
https://www.portproperty.com/uploads/1lr-1mm.jpg,"129 Grant Street – Apartment 5 – Portland","129 Grant Street",1,43.65601295983528,-70.2724403863851,1920
https://www.portproperty.com/uploads/37_410_-1-1.jpg,"37 Casco Street – Apartment 610 – Portland**ALL UTILITIES INCLUDED**","37 Casco Street",1,43.65704865370878,-70.2620510380728,3420
https://www.portproperty.com/uploads/117_504_-7-1.jpg,"117 Lofts – Apartment 504 – Portland","117 Lofts",1,43.66033313524671,-70.26300740354873,1990
https://www.portproperty.com/uploads/04-105mar-a-lr1-01.jpg,"105 Margaret Street – Apartment A – South Portland","105 Margaret Street",1,43.63988624497061,-70.24505701337372,2330
https://www.portproperty.com/uploads/37-613-3.jpg,"37 Casco Street – Apartment 613 – Portland**ALL UTILITIES INCLUDED**","37 Casco Street",1,43.65704865370878,-70.2620510380728,2650
https://www.portproperty.com/uploads/port-property-05-11-20-19592-1.jpg,"132 Marginal Way – The Linden – Apartment 135 – Portland **WORKFORCE HOUSING**","132 Marginal Way - The Linden",1,43.663085302169556,-70.26406819540031,2540
https://www.portproperty.com/uploads/01-132-214-kit1-01.jpg,"132 Marginal Way – The Linden – Apartment 205 – Portland **WORKFORCE HOUSING**","132 Marginal Way - The Linden",1,43.663085302169556,-70.26406819540031,2780
a,"132 Marginal Way – The Linden – Apartment 315 – Portland **WORKFORCE HOUSING**","132 Marginal Way - The Linden",1,43.663085302169556,-70.26406819540031,2050
a,"24 Pearl St – Apt 012 | Riverdam, Biddeford","24 Pearl Street",1,43.4955937229,-70.45376370562803,2440
a,"24 Pearl Street – Apartment 014 | Riverdam, Biddeford","24 Pearl Street",1,43.4955937229,-70.45376370562803,2740
a,"24 Pearl Street – Apt 303 | Riverdam, Biddeford","24 Pearl Street",1,43.4955937229,-70.45376370562803,2920
a,"24 Pearl St – Apt 204 | Riverdam, Biddeford","24 Pearl Street",1,43.4955937229,-70.45376370562803,2440
a,"145 Main St – Apt 14 | Biddeford","145 Main Street",1,43.492824081180146,-70.45460776013924,2830
a,"132 Marginal Way – The Linden – Apartment 141 – Portland **WORKFORCE HOUSING**","132 Marginal Way - The Linden",1,43.663085302169556,-70.26406819540031,2930
a,"Apt 322 – Lofts on the Levee | Biddeford","Lofts on the Levee",1,43.49691359310291,-70.45511541211907,1850
a,"Apt 409 – Lofts on the Levee | Biddeford","Lofts on the Levee",1,43.49691359310291,-70.45511541211907,1930
a,"Apt 504 – Lofts on the Levee | Biddeford","Lofts on the Levee",1,43.49691359310291,-70.45511541211907,5080
a,"Apt 510 – Lofts on the Levee | Biddeford","Lofts on the Levee",1,43.49691359310291,-70.45511541211907,3020
a,"Apt 628 – Lofts on the Levee | Biddeford","Lofts on the Levee",1,43.49691359310291,-70.45511541211907,1860
a,"28 Pearl St – Apt 011 | Riverdam, Biddeford","28 Pearl St",1,43.495522039807504,-70.45316991971181,2850
a,"28 Pearl St – Apt 203 | Riverdam, Biddeford","28 Pearl St",1,43.495522039807504,-70.45316991971181,1850
a,"28 Pearl St, Apt 204 – Riverdam, Biddeford","28 Pearl St",1,43.495522039807504,-70.45316991971181,2400
https://www.portproperty.com/uploads/117-kitchen-area-1.jpg,"24 Pearl St – Apt 117 | Riverdam, Biddeford","24 Pearl Street",1,43.4955937229,-70.45376370562803,4800
